# LAMMPS data file written by OVITO
30716 atoms
2 atom types
1.2885657482 98.7114342518 xlo xhi
0.9681350035 99.0318649965 ylo yhi
1.2498286157 98.7501713843 zlo zhi
0.0 12.9312349362 0.0 xy xz yz

Atoms # molecular

25114 15 1 4.4692813733 5.0245206848 4.6832313536
24956 15 1 5.4066620272 2.9049288491 6.1574736311
8066 4 1 4.7081062555 17.8505434119 21.0944968476
25667 15 1 2.1089561185 15.4562590878 1.9206022156
25722 15 1 13.271761074 13.6202105205 1.339855158
24962 15 1 11.1876715404 3.2333000647 4.8341843086
1313 0 1 13.5661647878 14.4878792095 25.3144644589
30621 15 2 6.0221618693 13.5336968491 1.6044872497
25134 15 1 11.3616413225 8.7368422086 24.3514765998
1564 0 1 11.4164851517 11.937322358 14.7418145476
25115 15 1 6.5656858639 6.6987053572 4.5186332814
25122 15 1 5.5525938853 8.5863385386 5.895431922
25665 15 1 7.4289021169 10.4320211017 2.7755463683
24515 14 1 9.4773855768 12.299005315 21.2435091479
24954 15 1 10.8565654882 5.8465286657 5.2991607964
25496 15 1 10.4616355255 7.3623055227 3.038912481
25663 15 1 8.0952339006 7.9382840834 2.6987510438
24958 15 1 8.1672564962 5.8941921103 6.4061682661
25541 15 1 11.8402287929 9.4920482324 3.8149922129
24726 15 1 4.3945556335 15.2188203635 18.2086219592
25117 15 1 5.598780945 11.1557435442 4.5681193988
25127 15 1 3.5182427473 12.1417589018 3.2192158431
1557 0 1 8.9216870011 19.3040618925 10.1878343057
25152 15 1 11.9030707332 12.1062429046 3.1519505791
25708 15 1 9.1885346138 12.3534908867 3.1258617693
24932 15 1 3.6802395228 2.2928166624 8.1890217093
1613 0 1 14.5194707259 19.8862608833 17.8889863153
30516 15 2 5.2625201172 5.155126665 9.1077318246
24967 15 1 7.6269846038 3.3551675472 10.0732282109
24968 15 1 7.8114497422 3.264381551 7.2378175868
30497 15 2 11.4765241415 4.2098911443 7.9273438058
24611 15 1 4.5564347013 3.1296141771 17.8055641893
24615 15 1 8.5417185861 2.0472706944 17.0411085375
24720 15 1 5.0863296966 13.3635079668 22.4607195953
25110 15 1 5.1384904325 8.689115775 10.2822014023
25098 15 1 6.9287551494 9.1117479346 8.6153228555
26359 0 2 10.0324261538 10.2542410084 6.0227352797
24946 15 1 8.0359559001 5.9173794291 11.0551627521
24934 15 1 8.9186919187 7.3944588357 8.748194778
24973 15 1 11.4065216694 8.1214128672 9.212787277
25158 15 1 12.1242637715 10.8407218954 9.0609762204
24984 15 1 12.8557676602 6.759563488 6.897212037
25168 15 1 10.0958247929 12.5504987908 9.3513247568
25137 15 1 7.4500128863 11.5575277416 8.5561621123
24976 15 1 14.1006565793 5.0816913972 12.0936839523
25147 15 1 13.9315538971 17.1973411784 7.0855845189
25102 15 1 3.6630067131 4.9605138851 11.5535396428
24259 14 1 5.5660822205 19.9791378253 25.4688710934
1541 0 1 11.8080414821 19.621222356 14.386062831
24940 15 1 13.1920665131 2.6472398523 13.2884106009
25103 15 1 6.0316312333 6.6775615901 12.1512517916
24942 15 1 10.0169594866 5.9151268042 12.7694403479
24977 15 1 11.8878525128 6.8446626172 11.5124973742
30513 15 2 4.4698032016 11.7817939898 9.5738453395
25105 15 1 5.5117031586 11.0315180031 12.1224584664
26423 0 2 8.9434223746 10.6843973309 11.6679207559
24960 15 1 9.8106563714 1.6435080365 6.327040067
24727 15 1 14.3339867674 19.1868773754 13.2734595236
30519 15 2 6.210206789 3.5978070051 14.0537886628
7974 4 1 10.1279599532 16.9196846984 22.5619939107
24961 15 1 10.3836796482 3.3804411916 13.093515271
24992 15 1 13.5643350958 11.4045896773 7.2457832905
25089 15 1 6.7197224701 7.8400385353 14.3813173938
25091 15 1 6.6083805341 10.5698084019 14.6029990729
1587 0 1 8.1029604852 19.4769267232 22.6112105559
24928 15 1 9.5912056453 7.2672994765 15.133357995
24982 15 1 11.5224617375 9.4228261206 14.7088809629
25135 15 1 8.8229999812 12.3593316106 14.997997386
24629 15 1 12.6753352991 13.411592233 12.7619144132
24623 15 1 7.0843972339 3.2099615189 18.8502996767
2965 1 1 11.6024187586 19.5669354775 1.6821620288
1550 0 1 14.0036476299 12.5445798348 22.8785522565
24307 14 1 14.4188612471 3.4096427707 19.5336672703
24617 15 1 10.5859504594 3.5101705724 16.2186930625
24600 15 1 12.8631172707 2.3303856248 17.5233656103
30514 15 2 2.8671921649 13.1289725303 7.1134465008
1504 0 1 6.1671553999 17.6079035145 23.6109245911
24613 15 1 7.5002207499 5.9880645288 18.2252732348
24700 15 1 5.357000244 7.1146037363 16.609798669
24707 15 1 4.1292822784 9.1611976617 18.1813620818
24589 15 1 5.5937731024 9.27040797 20.6653829287
1234 0 1 14.9456393548 2.065341311 21.6309738711
24609 15 1 9.9645580634 5.8971325798 17.2325321087
24632 15 1 12.0665928065 6.7691432073 18.7142093204
24633 15 1 12.788287737 9.2798484189 17.6208901381
1266 0 1 13.9993841353 5.75024728 20.6042980636
24989 15 1 13.5432329637 9.0776593946 5.8855547995
24316 14 1 9.1383547876 5.2570091215 24.7903863232
24725 15 1 5.9162127558 13.2123926117 18.2573447825
24702 15 1 4.7703436685 11.0963762695 16.4576981634
24685 15 1 6.7492190608 11.8920935709 20.8434810701
1623 0 1 12.1292563737 12.8368102551 17.4873064595
24699 15 1 3.1808108385 5.2555100421 16.0289701107
24622 15 1 7.4111571409 3.1311707381 21.6152081343
1615 0 1 11.40342358 10.2936520677 19.9959568528
25568 15 1 8.5166635553 20.0144366872 7.4865272352
24614 15 1 10.1968875986 2.6372613966 24.9169414609
1551 0 1 12.9352180341 16.7104958526 23.743738609
25120 15 1 2.2970563159 5.9945868368 5.4717737169
30625 15 2 11.2370577482 15.6630929441 3.4456212288
25529 15 1 12.1087197061 3.384724778 2.1972142476
26696 1 2 6.9416634903 15.7630310434 8.2301193911
1246 0 1 14.6157732155 2.7539329679 23.7261845053
30388 14 2 6.5043742024 9.5550541818 23.3937561955
24732 15 1 4.3034473711 17.9843808479 14.2914345578
24721 15 1 7.591753025 7.1962735841 20.8675663969
1305 0 1 14.1361101051 16.5670234503 21.1459005604
24587 15 1 7.3353830305 5.3541209003 22.8125969325
24626 15 1 10.2416074281 7.8389941611 20.6652235855
1315 0 1 11.1091143211 6.6207968692 23.2254337831
23749 14 1 6.7777820691 15.071198938 24.3002563585
